distance_m,received_power_w,signal_current_a,snr_db,theoretical_ber
300.0,2.578627156389e-06,7.735881469167e-07,2.551294602472e+01,1.514869795393e-21
302.0,2.508752402051e-06,7.526257206153e-07,2.527606612394e+01,1.680086654727e-20
304.0,2.440982389170e-06,7.322947167509e-07,2.503988653242e+01,1.631594703976e-19
306.0,2.375246007051e-06,7.125738021152e-07,2.480439916035e+01,1.398235865788e-18
308.0,2.311474850746e-06,6.934424552238e-07,2.456959604530e+01,1.065112463341e-17
310.0,2.249603105226e-06,6.748809315678e-07,2.433546934982e+01,7.261484829125e-17
312.0,2.189567435103e-06,6.568702305308e-07,2.410201135920e+01,4.459221270055e-16
314.0,2.131306879606e-06,6.393920638819e-07,2.386921447921e+01,2.481513630695e-15
316.0,2.074762752543e-06,6.224288257629e-07,2.363707123392e+01,1.258522464069e-14
318.0,2.019878546963e-06,6.059635640889e-07,2.340557426350e+01,5.847988435484e-14
320.0,1.966599844299e-06,5.899799532898e-07,2.317471632215e+01,2.502239859797e-13
322.0,1.914874227742e-06,5.744622683226e-07,2.294449027596e+01,9.905437095072e-13
324.0,1.864651199628e-06,5.593953598885e-07,2.271488910093e+01,3.643877358311e-12
326.0,1.815882102641e-06,5.447646307922e-07,2.248590588088e+01,1.250857078443e-11
328.0,1.768520044622e-06,5.305560133865e-07,2.225753380555e+01,4.022594669392e-11
330.0,1.722519826819e-06,5.167559480456e-07,2.202976616867e+01,1.216352158935e-10
332.0,1.677837875382e-06,5.033513626147e-07,2.180259636598e+01,3.470339192041e-10
334.0,1.634432175964e-06,4.903296527891e-07,2.157601789348e+01,9.372602245679e-10
336.0,1.592262211242e-06,4.776786633726e-07,2.135002434553e+01,2.403569985523e-09
338.0,1.551288901250e-06,4.653866703750e-07,2.112460941310e+01,5.869701052717e-09
340.0,1.511474546348e-06,4.534423639045e-07,2.089976688197e+01,1.368732451326e-08
342.0,1.472782772724e-06,4.418348318172e-07,2.067549063108e+01,3.055457153742e-08
344.0,1.435178480287e-06,4.305535440861e-07,2.045177463078e+01,6.545392836889e-08
346.0,1.398627792849e-06,4.195883378547e-07,2.022861294120e+01,1.348599669400e-07
348.0,1.363098010471e-06,4.089294031413e-07,2.000599971061e+01,2.678224122290e-07
350.0,1.328557563881e-06,3.985672691644e-07,1.978392917389e+01,5.136914134339e-07
352.0,1.294975970855e-06,3.884927912565e-07,1.956239565087e+01,9.533968427694e-07
354.0,1.262323794469e-06,3.786971383407e-07,1.934139354489e+01,1.715292441062e-06
356.0,1.230572603143e-06,3.691717809429e-07,1.912091734126e+01,2.996595718878e-06
358.0,1.199694932375e-06,3.599084797124e-07,1.890096160581e+01,5.091364509254e-06
360.0,1.169664248099e-06,3.508992744297e-07,1.868152098341e+01,8.425727565864e-06
362.0,1.140454911589e-06,3.421364734766e-07,1.846259019660e+01,1.360071984481e-05
364.0,1.112042145826e-06,3.336126437477e-07,1.824416404421e+01,2.144257125978e-05
366.0,1.084402003279e-06,3.253206009837e-07,1.802623739997e+01,3.305968857438e-05
368.0,1.057511335018e-06,3.172534005054e-07,1.780880521118e+01,4.990489974586e-05
370.0,1.031347761104e-06,3.094043283312e-07,1.759186249745e+01,7.384085823409e-05
372.0,1.005889642200e-06,3.017668926601e-07,1.737540434938e+01,1.072058980811e-04
374.0,9.811160523460e-07,2.943348157038e-07,1.715942592734e+01,1.528771539987e-04
376.0,9.570067528397e-07,2.871020258519e-07,1.694392246020e+01,2.143274696214e-04
378.0,9.335421671840e-07,2.800626501552e-07,1.672888924417e+01,2.956725502307e-04
380.0,9.107033570428e-07,2.732110071129e-07,1.651432164161e+01,4.017049912110e-04
382.0,8.884719991665e-07,2.665415997499e-07,1.630021507985e+01,5.379122249232e-04
