distance_m,beam_radius_m,geometric_collection_efficiency,water_transmittance,received_power_w,signal_current_a,background_current_a,shot_noise_variance_a2,thermal_noise_variance_a2,total_noise_variance_a2,noise_rms_current_a,snr_linear,snr_db
158.0,8.000065833992e-01,9.765464274465e-04,3.238917901475e-01,2.530362964383e-05,7.591088893148e-06,3.000000000000e-10,2.432869616169e-16,1.656778800000e-15,1.900065761617e-15,4.358974376636e-08,3.032770325520e+04,4.481839522036e+01
160.0,8.100066667333e-01,9.525830086241e-04,3.193026116488e-01,2.433297939728e-05,7.299893819184e-06,3.000000000000e-10,2.339560427480e-16,1.656778800000e-15,1.890734842748e-15,4.348258091176e-08,2.818398887382e+04,4.450002458727e+01
162.0,8.200067500675e-01,9.294909434712e-04,3.147784565930e-01,2.340669796824e-05,7.022009390472e-06,3.000000000000e-10,2.250516439753e-16,1.656778800000e-15,1.881830443975e-15,4.338006966310e-08,2.620247538121e+04,4.418342321610e+01
164.0,8.300068334017e-01,9.072284930462e-04,3.103184036716e-01,2.252237581820e-05,6.756712745460e-06,3.000000000000e-10,2.165506022610e-16,1.656778800000e-15,1.873329402261e-15,4.328197548935e-08,2.437006917713e+04,4.386856761979e+01
166.0,8.400069167358e-01,8.857563879896e-04,3.059215446304e-01,2.167775699040e-05,6.503327097121e-06,3.000000000000e-10,2.084312309578e-16,1.656778800000e-15,1.865210030958e-15,4.318807741678e-08,2.267479942215e+04,4.355543454046e+01
168.0,8.500070000700e-01,8.650376552340e-04,3.015869840839e-01,2.087072780488e-05,6.261218341465e-06,3.000000000000e-10,2.006732111338e-16,1.656778800000e-15,1.857452011134e-15,4.309816714356e-08,2.110571626320e+04,4.324400095362e+01
170.0,8.600070834042e-01,8.450374587366e-04,2.973138393333e-01,2.009930649899e-05,6.029791949698e-06,3.000000000000e-10,1.932574919862e-16,1.656778800000e-15,1.850036291986e-15,4.301204821891e-08,1.965279876624e+04,4.293424407240e+01
172.0,8.700071667383e-01,8.257229529520e-04,2.931012401865e-01,1.936163372485e-05,5.808490117456e-06,3.000000000000e-10,1.861661994927e-16,1.656778800000e-15,1.842944999493e-15,4.292953528158e-08,1.830687158536e+04,4.262614135165e+01
174.0,8.800072500725e-01,8.070631478936e-04,2.889483287811e-01,1.865596382438e-05,5.596789147313e-06,3.000000000000e-10,1.793825525375e-16,1.656778800000e-15,1.836161352537e-15,4.285045335276e-08,1.705952949951e+04,4.231967049189e+01
176.0,8.900073334067e-01,7.890287847479e-04,2.848542594098e-01,1.798065681059e-05,5.394197043177e-06,3.000000000000e-10,1.728907858279e-16,1.656778800000e-15,1.829669585828e-15,4.277463717938e-08,1.590306903826e+04,4.201480944305e+01
178.0,9.000074167408e-01,7.715922211091e-04,2.808181983477e-01,1.733417099128e-05,5.200251297383e-06,3.000000000000e-10,1.666760789844e-16,1.656778800000e-15,1.823454878984e-15,4.270193062362e-08,1.483042649840e+04,4.171153640795e+01
180.0,9.100075000750e-01,7.547273249928e-04,2.768393236831e-01,1.671505617729e-05,5.014516853187e-06,3.000000000000e-10,1.607244912520e-16,1.656778800000e-15,1.817503291252e-15,4.263218609516e-08,1.383512172546e+04,4.140982984544e+01
182.0,9.200075834092e-01,7.384093768695e-04,2.729168251496e-01,1.612194742368e-05,4.836584227103e-06,3.000000000000e-10,1.550229013332e-16,1.656778800000e-15,1.811801701333e-15,4.256526402283e-08,1.291120709769e+04,4.110966847329e+01
184.0,9.300076667433e-01,7.226149790321e-04,2.690499039617e-01,1.555355925679e-05,4.666067777038e-06,3.000000000000e-10,1.495589518931e-16,1.656778800000e-15,1.806337751893e-15,4.250103236267e-08,1.205322120799e+04,4.081103127069e+01
186.0,9.400077500775e-01,7.073219716765e-04,2.652377726515e-01,1.500868034520e-05,4.502604103559e-06,3.000000000000e-10,1.443209983300e-16,1.656778800000e-15,1.801099798330e-15,4.243936613959e-08,1.125614678997e+04,4.051389748042e+01
188.0,9.500078334117e-01,6.925093551323e-04,2.614796549088e-01,1.448616857609e-05,4.345850572826e-06,3.000000000000e-10,1.392980614452e-16,1.656778800000e-15,1.796076861445e-15,4.238014702010e-08,1.051537248029e+04,4.021824661071e+01
190.0,9.600079167458e-01,6.781572177351e-04,2.577747854225e-01,1.398494650275e-05,4.195483950826e-06,3.000000000000e-10,1.344797836792e-16,1.656778800000e-15,1.791258583679e-15,4.232326291390e-08,9.826658050389e+03,3.992405843666e+01
192.0,9.700080000800e-01,6.642466688767e-04,2.541224097256e-01,1.350399713177e-05,4.051199139532e-06,3.000000000000e-10,1.298563886133e-16,1.656778800000e-15,1.786635188613e-15,4.226860760202e-08,9.186102777301e+03,3.963131300146e+01
