distance_m,wavelength_nm,attenuation_per_m,attenuation_uncertainty_per_m,transmittance,transmittance_uncertainty,transmittance_lower,transmittance_upper,path_loss_db,path_loss_uncertainty_db,path_loss_lower_db,path_loss_upper_db
0.0,510.0,3.480012508463e-02,1.220531105760e-03,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,512.0,3.746090321893e-02,1.230509829008e-03,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,514.0,3.912227519045e-02,1.230493481956e-03,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,516.0,3.992422646334e-02,1.310448560206e-03,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,518.0,4.046674291916e-02,1.290441025646e-03,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,520.0,4.082981084306e-02,1.290427056758e-03,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,522.0,4.125341691052e-02,1.170455988203e-03,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,524.0,4.177754817459e-02,1.220423567641e-03,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,526.0,4.246219205357e-02,1.180424217253e-03,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,528.0,4.317733631914e-02,1.200404148012e-03,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,530.0,4.395296908500e-02,1.170401639475e-03,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,532.0,4.480907879581e-02,1.250364317919e-03,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,534.0,4.584565421664e-02,1.290342151284e-03,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,536.0,4.687268442274e-02,1.400305601748e-03,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,538.0,4.789015878967e-02,1.360304974238e-03,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,540.0,4.895806698389e-02,1.420283199080e-03,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,542.0,5.021639895350e-02,1.410276558699e-03,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,544.0,5.177514491951e-02,1.500252115286e-03,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,546.0,5.359429536727e-02,1.500244528861e-03,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,548.0,5.558384103828e-02,1.630218283779e-03,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,550.0,5.760377292229e-02,1.840187599055e-03,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
2.0,350.0,9.889596205244e-03,3.758950554915e-04,9.804151325101e-01,7.370664012792e-04,9.796783430990e-01,9.811524760404e-01,0.085899941,0.003264983,0.082634958,0.089164924
2.0,352.0,9.716301458359e-03,4.005114067230e-04,9.807549929872e-01,7.856071237837e-04,9.799697004240e-01,9.815409148396e-01,0.084394722,0.003478798,0.080915924,0.087873520
2.0,354.0,9.530050616577e-03,3.806701808959e-04,9.811203939252e-01,7.469665556724e-04,9.803737116453e-01,9.818676449010e-01,0.082776968,0.003306459,0.079470509,0.086083427
2.0,356.0,9.330572014292e-03,3.609609690622e-04,9.815118970663e-01,7.085749710223e-04,9.808035778016e-01,9.822207278667e-01,0.081044319,0.003135267,0.077909052,0.084179586
2.0,358.0,9.137606428434e-03,3.502190688770e-04,9.818907662067e-01,6.877537397597e-04,9.812032532752e-01,9.825787608672e-01,0.079368241,0.003041964,0.076326277,0.082410205
2.0,360.0,9.010906417364e-03,3.663151172735e-04,9.821396088757e-01,7.195451720084e-04,9.814203272196e-01,9.828594176923e-01,0.078267739,0.003181773,0.075085966,0.081449511
2.0,362.0,8.910235699738e-03,3.828687807150e-04,9.823373741827e-01,7.522126254082e-04,9.815854494825e-01,9.830898748803e-01,0.077393324,0.003325556,0.074067768,0.080718880
2.0,364.0,8.775368570623e-03,3.813849545962e-04,9.826023799646e-01,7.494995281377e-04,9.818531662116e-01,9.833521654132e-01,0.076221883,0.003312668,0.072909215,0.079534551
2.0,366.0,8.606089352376e-03,3.525348990998e-04,9.829351046102e-01,6.930378558509e-04,9.822423110170e-01,9.836283868435e-01,0.074751542,0.003062079,0.071689463,0.077813622
2.0,368.0,8.442191877956e-03,3.510897637483e-04,9.832573585863e-01,6.904231874596e-04,9.825671777426e-01,9.839480242310e-01,0.073327947,0.003049527,0.070278420,0.076377474
2.0,370.0,8.293479004540e-03,3.588880416328e-04,9.835498481353e-01,7.059685576909e-04,9.828441328807e-01,9.842560701173e-01,0.072036243,0.003117262,0.068918981,0.075153505
2.0,372.0,8.159762155435e-03,3.668617301156e-04,9.838129176838e-01,7.218466181831e-04,9.830913358188e-01,9.845350291847e-01,0.070874794,0.003186521,0.067688273,0.074061314
2.0,374.0,8.020860888458e-03,3.564011718835e-04,9.840862613713e-01,7.014589935743e-04,9.833850523192e-01,9.847879704251e-01,0.069668312,0.003095661,0.066572651,0.072763974
2.0,376.0,7.906602489062e-03,3.367501746394e-04,9.843111673099e-01,6.629339149822e-04,9.836484565879e-01,9.849743245181e-01,0.068675877,0.002924975,0.065750902,0.071600851
2.0,378.0,7.796821586622e-03,3.172091018280e-04,9.845273081736e-01,6.246020463017e-04,9.839029042149e-01,9.851521083913e-01,0.067722332,0.002755243,0.064967089,0.070477575
2.0,380.0,7.711359792400e-03,3.160414408533e-04,9.846956014963e-01,6.224092333976e-04,9.840733889286e-01,9.853182074783e-01,0.066980020,0.002745101,0.064234919,0.069725121
2.0,382.0,7.610065357832e-03,3.057452551380e-04,9.848951100731e-01,6.022540134269e-04,9.842930401584e-01,9.854975482604e-01,0.066100188,0.002655670,0.063444518,0.068755857
2.0,384.0,7.512792851830e-03,3.138684578112e-04,9.850867351433e-01,6.183753087395e-04,9.844685538825e-01,9.857053045812e-01,0.065255290,0.002726227,0.062529063,0.067981516
2.0,386.0,7.419402855952e-03,3.128577247795e-04,9.852707468199e-01,6.164991282837e-04,9.846544405279e-01,9.858874388650e-01,0.064444114,0.002717448,0.061726667,0.067161562
2.0,388.0,7.359761676293e-03,3.305721489180e-04,9.853882792488e-01,6.514838419798e-04,9.847370107218e-01,9.860399785007e-01,0.063926078,0.002871313,0.061054764,0.066797391
2.0,390.0,7.313741071094e-03,3.203211443619e-04,9.854789797528e-01,6.313395090780e-04,9.848478424319e-01,9.861105215364e-01,0.063526348,0.002782274,0.060744074,0.066308622
2.0,392.0,7.241217993107e-03,3.100990003517e-04,9.856219300575e-01,6.112807504711e-04,9.850108388254e-01,9.862334004047e-01,0.062896420,0.002693486,0.060202935,0.065589906
