wavelength_nm,absorption_per_m,absorption_uncertainty_per_m,scattering_per_m,scattering_uncertainty_per_m,attenuation_per_m,combined_uncertainty_per_m,relative_attenuation_uncertainty,attenuation_lower_per_m,attenuation_upper_per_m,attenuation_length_m,attenuation_length_uncertainty_m,half_power_distance_m,half_power_distance_uncertainty_m,scattering_relative_uncertainty_assumption
448.0,7.510000000000e-03,5.500000000000e-04,3.104978046325e-03,6.209956092650e-05,1.061497804633e-02,5.534946751932e-04,0.052142800,1.006148337114e-02,1.116847272152e-02,94.206506658,4.912191017,65.298974481,3.404871354,0.020000
450.0,8.080000000000e-03,5.200000000000e-04,3.046997393049e-03,6.093994786098e-05,1.112699739305e-02,5.235586664790e-04,0.047053005,1.060343872657e-02,1.165055605953e-02,89.871504834,4.228724387,62.294180189,2.931128386,0.020000
452.0,8.420000000000e-03,4.400000000000e-04,2.990377068171e-03,5.980754136342e-05,1.141037706817e-02,4.440461034667e-04,0.038915989,1.096633096470e-02,1.185442317164e-02,87.639522693,3.410578663,60.747088060,2.364032984,0.020000
454.0,8.630000000000e-03,4.800000000000e-04,2.935078473185e-03,5.870156946370e-05,1.156507847319e-02,4.835761307773e-04,0.041813476,1.108150234241e-02,1.204865460397e-02,86.467204033,3.615494358,59.934498686,2.506069720,0.020000
456.0,8.770000000000e-03,4.500000000000e-04,2.881064299463e-03,5.762128598926e-05,1.165106429946e-02,4.536741259969e-04,0.038938428,1.119739017346e-02,1.210473842546e-02,85.829068856,3.342049001,59.492177087,2.316531842,0.020000
458.0,8.930000000000e-03,5.600000000000e-04,2.828298478487e-03,5.656596956974e-05,1.175829847849e-02,5.628496325959e-04,0.047868289,1.119544884589e-02,1.232114811109e-02,85.046318719,4.071021784,58.949616037,2.821817271,0.020000
460.0,9.090000000000e-03,5.200000000000e-04,2.776746134281e-03,5.553492268562e-05,1.186674613428e-02,5.229570992325e-04,0.044069123,1.134378903505e-02,1.238970323351e-02,84.269098596,3.713665301,58.410888100,2.574116633,0.020000
462.0,9.330000000000e-03,5.700000000000e-04,2.726373537891e-03,5.452747075782e-05,1.205637353789e-02,5.726021699813e-04,0.047493732,1.148377136791e-02,1.262897570787e-02,82.943680938,3.939304928,57.492178588,2.730518104,0.020000
464.0,9.550000000000e-03,5.100000000000e-04,2.677148063863e-03,5.354296127726e-05,1.222714806386e-02,5.128029335937e-04,0.041939701,1.171434513027e-02,1.273995099745e-02,81.785220460,3.430047690,56.689194973,2.377527886,0.020000
466.0,9.790000000000e-03,5.100000000000e-04,2.629038148577e-03,5.258076297154e-05,1.241903814858e-02,5.127033612477e-04,0.041283661,1.190633478733e-02,1.293174150983e-02,80.521533796,3.324223707,55.813274125,2.304176290,0.020000
468.0,9.990000000000e-03,4.600000000000e-04,2.582013250379e-03,5.164026500758e-05,1.257201325038e-02,4.628895299853e-04,0.036819046,1.210912372039e-02,1.303490278037e-02,79.541755174,2.928651516,55.134143335,2.029986541,0.020000
470.0,1.030000000000e-02,4.200000000000e-04,2.536043811410e-03,5.072087622820e-05,1.283604381141e-02,4.230515421144e-04,0.032958094,1.241299226930e-02,1.325909535352e-02,77.905623780,2.567620893,54.000063473,1.779739183,0.020000
472.0,1.065000000000e-02,4.500000000000e-04,2.491101221051e-03,4.982202442102e-05,1.314110122105e-02,4.527496373465e-04,0.034452945,1.268835158370e-02,1.359385085840e-02,76.097123306,2.621770002,52.746506469,1.817272485,0.020000
474.0,1.100000000000e-02,4.200000000000e-04,2.447157780913e-03,4.894315561826e-05,1.344715778091e-02,4.228420892980e-04,0.031444718,1.302431569161e-02,1.386999987021e-02,74.365157031,2.338391419,51.545998928,1.620849419,0.020000
476.0,1.138000000000e-02,4.400000000000e-04,2.404186671298e-03,4.808373342596e-05,1.378418667130e-02,4.426195267046e-04,0.032110674,1.334156714460e-02,1.422680619800e-02,72.546899128,2.329529839,50.285678589,1.614707040,0.020000
478.0,1.177000000000e-02,4.600000000000e-04,2.362161919053e-03,4.724323838106e-05,1.413216191905e-02,4.624196401243e-04,0.032721083,1.366974227893e-02,1.459458155917e-02,70.760581837,2.315362856,49.047497795,1.604887236,0.020000
480.0,1.214000000000e-02,5.200000000000e-04,2.321058366764e-03,4.642116733528e-05,1.446105836676e-02,5.220679311898e-04,0.036101641,1.393899043557e-02,1.498312629795e-02,69.151231856,2.496472916,47.931981393,1.730423163,0.020000
482.0,1.254000000000e-02,6.000000000000e-04,2.280851643226e-03,4.561703286452e-05,1.482085164323e-02,6.017315960521e-04,0.040600339,1.421912004718e-02,1.542258323928e-02,67.472505904,2.739406590,46.768377233,1.898811955,0.020000
484.0,1.294000000000e-02,5.500000000000e-04,2.241518135114e-03,4.483036270228e-05,1.518151813511e-02,5.518240312092e-04,0.036348409,1.462969410390e-02,1.573334216632e-02,65.869565290,2.394253903,45.657303465,1.659570343,0.020000
