distance_m,wavelength_nm,attenuation_per_m,optical_depth,transmittance,path_loss_db
4.0,366.0,8.606089352376e-03,3.442435740950e-02,9.661614198751e-01,0.149503085
4.0,368.0,8.442191877956e-03,3.376876751182e-02,9.667950332141e-01,0.146655894
4.0,370.0,8.293479004540e-03,3.317391601816e-02,9.673703037669e-01,0.144072487
4.0,372.0,8.159762155435e-03,3.263904862174e-02,9.678878570015e-01,0.141749587
4.0,374.0,8.020860888458e-03,3.208344355383e-02,9.684257698198e-01,0.139336625
4.0,376.0,7.906602489062e-03,3.162640995625e-02,9.688684740910e-01,0.137351753
4.0,378.0,7.796821586622e-03,3.118728634649e-02,9.692940205396e-01,0.135444664
4.0,380.0,7.711359792400e-03,3.084543916960e-02,9.696254276062e-01,0.133960040
4.0,382.0,7.610065357832e-03,3.044026143133e-02,9.700183778459e-01,0.132200376
4.0,384.0,7.512792851830e-03,3.005117140732e-02,9.703958757554e-01,0.130510579
4.0,386.0,7.419402855952e-03,2.967761142381e-02,9.707584445391e-01,0.128888229
4.0,388.0,7.359761676293e-03,2.943904670517e-02,9.709900608809e-01,0.127852155
4.0,390.0,7.313741071094e-03,2.925496428438e-02,9.711688195346e-01,0.127052696
4.0,392.0,7.241217993107e-03,2.896487197243e-02,9.714505890103e-01,0.125792841
4.0,394.0,7.222074345802e-03,2.888829738321e-02,9.715249802883e-01,0.125460281
4.0,396.0,7.216196752604e-03,2.886478701042e-02,9.715478214713e-01,0.125358177
4.0,398.0,7.223476338366e-03,2.889390535346e-02,9.715195320204e-01,0.125484637
4.0,400.0,7.253808522356e-03,2.901523408942e-02,9.714016659340e-01,0.126011561
4.0,402.0,7.297092822081e-03,2.918837128832e-02,9.712334947294e-01,0.126763486
4.0,404.0,7.303232667298e-03,2.921293066919e-02,9.712096421290e-01,0.126870146
4.0,406.0,7.292135223641e-03,2.916854089456e-02,9.712527548630e-01,0.126677364
4.0,408.0,7.213711225286e-03,2.885484490114e-02,9.715574807539e-01,0.125314999
4.0,410.0,7.187874816150e-03,2.875149926460e-02,9.716578921686e-01,0.124866175
4.0,412.0,7.144543399123e-03,2.857817359649e-02,9.718263200180e-01,0.124113431
4.0,414.0,7.143637492892e-03,2.857454997157e-02,9.718298415584e-01,0.124097694
4.0,416.0,7.135080595916e-03,2.854032238366e-02,9.718631055190e-01,0.123949045
4.0,418.0,7.168799057154e-03,2.867519622862e-02,9.717320354444e-01,0.124534795
4.0,420.0,7.204721953181e-03,2.881888781272e-02,9.715924157602e-01,0.125158840
4.0,422.0,7.222780971318e-03,2.889112388527e-02,9.715222342748e-01,0.125472557
4.0,424.0,7.232910298468e-03,2.893164119387e-02,9.714828716061e-01,0.125648521
4.0,426.0,7.285046515327e-03,2.914018606131e-02,9.712802949633e-01,0.126554220
4.0,428.0,7.349128495696e-03,2.939651398278e-02,9.710313606099e-01,0.127667438
4.0,430.0,7.455097310597e-03,2.982038924239e-02,9.706198516602e-01,0.129508305
4.0,432.0,7.572896136960e-03,3.029158454784e-02,9.701626078768e-01,0.131554680
4.0,434.0,7.722470170618e-03,3.088988068247e-02,9.695823369428e-01,0.134153047
4.0,436.0,7.903766543389e-03,3.161506617356e-02,9.688794647868e-01,0.137302488
