wavelength_nm,absorption_per_m,absorption_uncertainty_per_m,molecular_scattering_per_m,attenuation_per_m,absorption_fraction,scattering_fraction,model_temperature_c,depolarization_ratio
380.0,1.430000000000e-03,2.900000000000e-04,6.281359792400e-03,7.711359792400e-03,0.185440705,0.814559295,23.0,0.039
382.0,1.470000000000e-03,2.800000000000e-04,6.140065357832e-03,7.610065357832e-03,0.193165227,0.806834773,23.0,0.039
384.0,1.510000000000e-03,2.900000000000e-04,6.002792851830e-03,7.512792851830e-03,0.200990501,0.799009499,23.0,0.039
386.0,1.550000000000e-03,2.900000000000e-04,5.869402855952e-03,7.419402855952e-03,0.208911691,0.791088309,23.0,0.039
388.0,1.620000000000e-03,3.100000000000e-04,5.739761676293e-03,7.359761676293e-03,0.220115823,0.779884177,23.0,0.039
390.0,1.700000000000e-03,3.000000000000e-04,5.613741071094e-03,7.313741071094e-03,0.232439183,0.767560817,23.0,0.039
392.0,1.750000000000e-03,2.900000000000e-04,5.491217993107e-03,7.241217993107e-03,0.241672050,0.758327950,23.0,0.039
394.0,1.850000000000e-03,2.800000000000e-04,5.372074345802e-03,7.222074345802e-03,0.256159091,0.743840909,23.0,0.039
396.0,1.960000000000e-03,2.800000000000e-04,5.256196752604e-03,7.216196752604e-03,0.271611219,0.728388781,23.0,0.039
398.0,2.080000000000e-03,2.800000000000e-04,5.143476338366e-03,7.223476338366e-03,0.287949998,0.712050002,23.0,0.039
400.0,2.220000000000e-03,2.700000000000e-04,5.033808522356e-03,7.253808522356e-03,0.306046126,0.693953874,23.0,0.039
402.0,2.370000000000e-03,2.700000000000e-04,4.927092822081e-03,7.297092822081e-03,0.324786879,0.675213121,23.0,0.039
404.0,2.480000000000e-03,2.800000000000e-04,4.823232667298e-03,7.303232667298e-03,0.339575653,0.660424347,23.0,0.039
406.0,2.570000000000e-03,2.900000000000e-04,4.722135223641e-03,7.292135223641e-03,0.352434496,0.647565504,23.0,0.039
408.0,2.590000000000e-03,3.100000000000e-04,4.623711225286e-03,7.213711225286e-03,0.359038492,0.640961508,23.0,0.039
410.0,2.660000000000e-03,3.200000000000e-04,4.527874816150e-03,7.187874816150e-03,0.370067658,0.629932342,23.0,0.039
412.0,2.710000000000e-03,2.900000000000e-04,4.434543399123e-03,7.144543399123e-03,0.379310454,0.620689546,23.0,0.039
414.0,2.800000000000e-03,2.900000000000e-04,4.343637492892e-03,7.143637492892e-03,0.391957179,0.608042821,23.0,0.039
416.0,2.880000000000e-03,3.000000000000e-04,4.255080595916e-03,7.135080595916e-03,0.403639449,0.596360551,23.0,0.039
418.0,3.000000000000e-03,3.100000000000e-04,4.168799057154e-03,7.168799057154e-03,0.418480135,0.581519865,23.0,0.039
420.0,3.120000000000e-03,3.000000000000e-04,4.084721953181e-03,7.204721953181e-03,0.433049328,0.566950672,23.0,0.039
422.0,3.220000000000e-03,2.900000000000e-04,4.002780971318e-03,7.222780971318e-03,0.445811664,0.554188336,23.0,0.039
424.0,3.310000000000e-03,2.900000000000e-04,3.922910298468e-03,7.232910298468e-03,0.457630451,0.542369549,23.0,0.039
426.0,3.440000000000e-03,3.000000000000e-04,3.845046515327e-03,7.285046515327e-03,0.472200142,0.527799858,23.0,0.039
428.0,3.580000000000e-03,3.100000000000e-04,3.769128495696e-03,7.349128495696e-03,0.487132590,0.512867410,23.0,0.039
430.0,3.760000000000e-03,3.100000000000e-04,3.695097310597e-03,7.455097310597e-03,0.504352907,0.495647093,23.0,0.039
432.0,3.950000000000e-03,3.400000000000e-04,3.622896136960e-03,7.572896136960e-03,0.521597012,0.478402988,23.0,0.039
434.0,4.170000000000e-03,3.600000000000e-04,3.552470170618e-03,7.722470170618e-03,0.539982662,0.460017338,23.0,0.039
436.0,4.420000000000e-03,3.800000000000e-04,3.483766543389e-03,7.903766543389e-03,0.559227044,0.440772956,23.0,0.039
438.0,4.800000000000e-03,3.600000000000e-04,3.416734244034e-03,8.216734244034e-03,0.584173694,0.415826306,23.0,0.039
440.0,5.220000000000e-03,3.800000000000e-04,3.351324042880e-03,8.571324042880e-03,0.609007427,0.390992573,23.0,0.039
442.0,5.740000000000e-03,4.000000000000e-04,3.287488419921e-03,9.027488419921e-03,0.635835764,0.364164236,23.0,0.039
444.0,6.260000000000e-03,5.000000000000e-04,3.225181496220e-03,9.485181496220e-03,0.659976828,0.340023172,23.0,0.039
446.0,6.910000000000e-03,5.700000000000e-04,3.164358968437e-03,1.007435896844e-02,0.685899720,0.314100280,23.0,0.039
448.0,7.510000000000e-03,5.500000000000e-04,3.104978046325e-03,1.061497804633e-02,0.707490865,0.292509135,23.0,0.039
450.0,8.080000000000e-03,5.200000000000e-04,3.046997393049e-03,1.112699739305e-02,0.726161759,0.273838241,23.0,0.039
452.0,8.420000000000e-03,4.400000000000e-04,2.990377068171e-03,1.141037706817e-02,0.737924781,0.262075219,23.0,0.039
454.0,8.630000000000e-03,4.800000000000e-04,2.935078473185e-03,1.156507847319e-02,0.746211971,0.253788029,23.0,0.039
