distance_m,received_power_w,photon_energy_j,bit_duration_s,mean_received_photons_per_bit,detector_efficiency,mean_detected_photons_per_bit
356.0,1.2305726031430054e-06,4.775110233531078e-19,5e-08,128852.79532416436,0.8941168156240403,115209.45103949806
358.0,1.1996949323747555e-06,4.775110233531078e-19,5e-08,125619.60600934755,0.8941168156240403,112318.6021050244
360.0,1.1696642480991123e-06,4.775110233531078e-19,5e-08,122475.10433221704,0.8941168156240403,109507.050278744
362.0,1.1404549115885038e-06,4.775110233531078e-19,5e-08,119416.60567123337,0.8941168156240403,106772.3951953949
364.0,1.1120421458255577e-06,4.775110233531078e-19,5e-08,116441.51563420866,0.8941168156240403,104112.31716529555
366.0,1.0844020032789888e-06,4.775110233531078e-19,5e-08,113547.32668413183,0.8941168156240403,101524.57415743858
368.0,1.0575113350180386e-06,4.775110233531078e-19,5e-08,110731.61490515315,0.8941168156240403,99006.99890790306
370.0,1.0313477611039732e-06,4.775110233531078e-19,5e-08,107992.03690228911,0.8941168156240403,96557.4961478286
372.0,1.0058896422002575e-06,4.775110233531078e-19,5e-08,105326.32682873444,0.8941168156240403,94174.03994548497
374.0,9.811160523459556e-07,4.775110233531078e-19,5e-08,102732.293534975,0.8941168156240403,91854.67115724603
376.0,9.570067528396744e-07,4.775110233531078e-19,5e-08,100207.81783418548,0.8941168156240403,89597.49498253583
378.0,9.33542167184001e-07,4.775110233531078e-19,5e-08,97750.84987867066,0.8941168156240403,87400.67861806063
380.0,9.107033570428491e-07,4.775110233531078e-19,5e-08,95359.40664236833,0.8941168156240403,85262.44900687232
382.0,8.8847199916649e-07,4.775110233531078e-19,5e-08,93031.56950467784,0.8941168156240403,83181.09067802913
384.0,8.668303632412489e-07,4.775110233531078e-19,5e-08,90765.48193111019,0.8941168156240403,81154.94367282561
386.0,8.457612906229585e-07,4.775110233531078e-19,5e-08,88559.34724647588,0.8941168156240403,79182.40155376264
388.0,8.252481739152369e-07,4.775110233531078e-19,5e-08,86411.42649653407,0.8941168156240403,77261.90949261187
390.0,8.052749373555587e-07,4.775110233531078e-19,5e-08,84320.03639422554,0.8941168156240403,75391.96243410812
392.0,7.858260179738504e-07,4.775110233531078e-19,5e-08,82283.54734679611,0.8941168156240403,73571.10333196729
394.0,7.668863474900436e-07,4.775110233531078e-19,5e-08,80300.38156029643,0.8941168156240403,71797.92145408766
396.0,7.484413349186212e-07,4.775110233531078e-19,5e-08,78369.01121811035,0.8941168156240403,70071.05075394151
398.0,7.304768498496991e-07,4.775110233531078e-19,5e-08,76487.95673032339,0.8941168156240403,68389.16830530614
400.0,7.129792063776373e-07,4.775110233531078e-19,5e-08,74655.78505089362,0.8941168156240403,66750.99279761784
402.0,6.959351476495349e-07,4.775110233531078e-19,5e-08,72871.10805973035,0.8941168156240403,65155.283089361445
404.0,6.79331831007253e-07,4.775110233531078e-19,5e-08,71132.58100692091,0.8941168156240403,63600.836817027215
406.0,6.631568136978437e-07,4.775110233531078e-19,5e-08,69438.9010164751,0.8941168156240403,62086.48905728365
408.0,6.473980391284362e-07,4.775110233531078e-19,5e-08,67788.80564707937,0.8941168156240403,60611.111040123564
410.0,6.320438236427185e-07,4.775110233531078e-19,5e-08,66181.07150746732,0.8941168156240403,59173.608910843584
412.0,6.170828437972302e-07,4.775110233531078e-19,5e-08,64614.51292412492,0.8941168156240403,57772.92253881697
414.0,6.02504124116656e-07,4.775110233531078e-19,5e-08,63087.98065915211,0.8941168156240403,56408.02437111213
416.0,5.882970253082784e-07,4.775110233531078e-19,5e-08,61600.360676202334,0.8941168156240403,55077.918329098386
418.0,5.744512329166338e-07,4.775110233531078e-19,5e-08,60150.57295251601,0.8941168156240403,53781.63874626515
420.0,5.609567464002884e-07,4.775110233531078e-19,5e-08,58737.57033515376,0.8941168156240403,52518.24934556078
422.0,5.47803868613447e-07,4.775110233531078e-19,5e-08,57360.337439619616,0.8941168156240403,51286.84225463311
